trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,0,12.095778806726459,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",20,13,6.5168887948131875,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",30,0,3.3399463040417987,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",20,10,6.900623555519708,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",30,17,21.13414169265058,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",20,5,-13.974680544909834,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,14,10.20108293617346,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",20,12,13.410904540637016,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",30,4,10.332200479946335,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",25,15,8.258031752879967,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",20,16,6.792202311761979,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",20,13,6.862704090040714,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,12,3.6284767146871246,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",20,0,22.757173201979114,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,4,29.917176746791473,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
